eval_results_tag,Chat,Chat Hard,Safety,Reasoning
lr_2e-5-epochs_5-fold_4,0.775189713038875,0.35964912280701755,0.527027027027027,0.696960458240946
lr_5e-5-epochs_1-fold_4,0.8157176983992627,0.2894736842105263,0.4027027027027027,0.20630081300813008
lr_3e-5-epochs_1-fold_4,0.7195343969086987,0.375,0.522972972972973,0.567248706577975
lr_3e-5-epochs_2-fold_4,0.7477978776861458,0.3925438596491228,0.577027027027027,0.5840909090909091
lr_5e-5-epochs_2-fold_4,0.8032748340010909,0.2916666666666667,0.3891891891891892,0.19990761271249077
lr_3e-5-epochs_3-fold_4,0.7177457603435258,0.25219298245614036,0.3608108108108108,0.1281319290465632
lr_5e-5-epochs_3-fold_4,0.7698647824346148,0.25,0.3864864864864865,0.1131559497413156
lr_5e-5-epochs_5-fold_4,0.8063983140798783,0.2894736842105263,0.3945945945945946,0.2836289726533629
lr_3e-5-epochs_5-fold_4,0.7526622973550349,0.37280701754385964,0.5405405405405406,0.6271711012564672
lr_2e-05-epochs_3-fold_4,0.7668847291752319,0.31359649122807015,0.4175675675675676,0.4109016999260902
lr_1e-05-epochs_5-fold_4,0.7425058647125685,0.4166666666666667,0.5486486486486486,0.6759146341463415
